"order_id","article","id","product_group","length","width","height","weight","sequence"
"2","cutlet-00108825","00108825","instant meals","580","380","125","7.7","1"
"2","pastry w. fruit-00104306","00104306","confectionery","595","400","300","9.8","2"
"2","bread-00101302","00101302","bakery products","600","400","240","6.996","3"
"2","roll-00104731","00104731","bakery products","590","400","290","10.0","4"
"2","pizza roll-00102123","00102123","pizza","590","395","295","9.8","5"
"2","snack baguette-00104442","00104442","snack","590","380","230","6.36","6"
"2","bread roll-00111196","00111196","bakery products","395","300","325","13.99","7"
"2","bread roll-00108100","00108100","bakery products","590","390","270","8.01","8"
"2","cheese-00106562","00106562","dairy products","400","300","360","8.745","9"
"2","donut-00102055","00102055","confectionery","585","395","265","7.208","10"
"2","bread roll-00106669","00106669","bakery products","600","400","290","10.81","11"
"2","bread roll w. sweet stuffing-00111311","00111311","confectionery","590","390","290","9.01","12"
"2","roll-00101154","00101154","bakery products","590","390","280","6.529","13"
"2","baguette-00101162","00101162","bakery products","590","390","275","7.21","14"
"2","ciabatta-00107296","00107296","bakery products","595","400","300","8.586","15"
